ID,Nationality,DistributionChannel,MarketSegment,SRAccessibleRoom,SRCrib,SRNoAlcoholInMiniBar,SRQuietRoom,PersonRoomRatio,BookingConversionRate,Continent,AccompanyingGuest,MultipleRooms,AgeGroup,LeadTimeSegment,FloorAsked,BathAsked,BedAsked,DistanceElevatorAsked,OtherRevenue_log,TotalRevenue_log,SpendingPerPerson_log,PersonsNights_log,AvgPersonsPerBooking_log,SpendingTier
9798,ESP,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,0.7599649873612231,0.9344877286379156,-0.8717170312246576,1.9706672181825817,1.9987563995292676,High Spender
9805,ESP,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,TwinBed,Not specified,1.092343831059297,1.1620285376483634,-1.0362531631435268,2.4512291056422737,2.479147999985409,High Spender
9806,PRT,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,0.752877937215778,1.112167282808439,-0.8852439002947642,2.2273821723486074,2.255380386805383,High Spender
9828,NLD,Travel Agent/Operator,Other,0,0,0,0,0.0845641262745221,0.03924461024147855,Western Europe,1,1,30-50,Standard (7-30 Days),Not specified,Not specified,KingSizeBed,Not specified,1.3508617064646404,1.6864027194106712,0.14153207577751428,1.9706672181825817,1.9987563995292676,High Spender
9832,PRT,Corporate,Corporate,0,0,0,0,-1.1172891656689525,-18.588414307948028,Southern Europe,1,1,50+,Standard (7-30 Days),Not specified,Not specified,KingSizeBed,Not specified,0.6552536058266082,0.7805405486488342,-0.41481058667164683,1.306149126919944,-1.6722119642726123,High Spender
9838,BEL,Travel Agent/Operator,Other,0,0,0,0,0.0845641262745221,0.03924461024147855,Western Europe,1,1,50+,Standard (7-30 Days),Not specified,Not specified,KingSizeBed,Not specified,1.5982099784331194,2.140414191882525,2.1030388826656825,0.6622322579920589,0.6907850829911565,High Spender
9850,GBR,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Northern Europe,1,1,<30,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,0.8971531656909539,1.2530035459554667,-0.696298132714832,2.2273821723486074,2.255380386805383,High Spender
9859,PRT,Travel Agent/Operator,Other,0,0,0,0,0.0845641262745221,0.03924461024147855,Southern Europe,1,1,30-50,Standard (7-30 Days),Not specified,Not specified,KingSizeBed,Not specified,3.186809712802579,2.8817216806276904,2.743604589707718,1.0136234420823291,1.0420517516893943,High Spender
9869,ESP,Travel Agent/Operator,Other,0,0,0,0,3.0891973561332087,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,1.3552331438526513,1.761652766322702,-0.8949996832716216,3.137727615649291,3.165403249390074,High Spender
9880,HUN,Direct,Direct,0,0,0,0,1.5868807412038655,0.03924461024147855,Other,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,0.25738259491666954,0.03863503077664912,-1.409135572648023,1.306149126919944,1.334473780112232,Low Spender
